,open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore,ma5,ma10,ma20,ma30,ma50,ma200,ma250,real_body,upper_shadow,lower_shadow,shadow_ratio,lower_shadow_ratio,upper_shadow_ratio,ema_12,ema_26,dif,dea,obv,k,d,rsi,cci,bolling,upper,lower,adx,cross,wave,wave_len,max_min_price,pnl,speed,cross_index,cross_iloc,wave_iloc,iloc,dist_to_cross_point,pnl_inter_wave,speed_inter_wave,vwap_200,gradient,ma5_gradient,ma10_gradient,ma20_gradient
0,1698800400000,1817.92,1819.22,1811.16,1812.84,10099.4062,1698803999999,18336338.883656,19448,3896.6409,7074070.710656,0,,,,,,,,-5.080000000000155,1.2999999999999545,1.6799999999998363,0.5866141732282875,0.33070866141728056,0.2559055118110069,1812.84,1812.84,0.0,0.0,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1,1698804000000,1812.83,1813.61,1808.34,1810.81,6687.1209,1698807599999,12112274.980832,16230,2681.7538,4857252.787367,0,,,,,,,,-2.019999999999982,0.7799999999999727,2.4700000000000273,1.6089108910891234,1.2227722772277474,0.3861386138613761,1812.5276923076922,1812.6896296296297,-0.1619373219375575,-0.0323874643875115,-6687.1209,,,,,,,,,,,,,,,,,,1,,,,,-2.0299999999999727,,,
2,1698807600000,1810.81,1812.19,1807.68,1809.73,5851.0388,1698811199999,10591264.821802,16433,2877.5597,5208491.723855,0,,,,,,,,-1.0799999999999272,1.3800000000001091,2.0499999999999545,3.1759259259261987,1.8981481481482338,1.2777777777779649,1812.0972781065088,1812.4703978052128,-0.37311969870393114,-0.10053391125079542,-12538.1597,,,,,,,,,,,,,,,,,,2,,,,,-1.0799999999999272,,,
3,1698811200000,1809.73,1810.11,1806.63,1808.37,4621.8644,1698814799999,8360581.826379,13467,2146.7428,3883388.899762,0,,,,,,,,-1.3600000000001273,0.37999999999988177,1.7399999999997817,1.5588235294113713,1.279411764705602,0.2794117647057693,1811.5238507055074,1812.1666646344563,-0.6428139289489536,-0.20898991479042706,-10472.9032,,,,,,,,,,,,,,,,,,3,,,,,-1.3600000000001273,,,
4,1698814800000,1808.38,1808.38,1800.0,1800.04,9203.7321,1698818399999,16598507.197729,21888,3579.1892,6454720.20696,0,1808.3579999999997,,,,,,,-8.340000000000146,0.0,0.03999999999996362,0.004796163069539919,0.004796163069539919,0.0,1809.7571044431215,1811.2683931800523,-1.5112887369307373,-0.4694496792184891,-13825.5965,,,,,,,,,,,,,,,,,,4,,,,,-8.329999999999927,,,
5,1698818400000,1800.03,1804.08,1797.57,1804.07,9391.7662,1698821999999,16911124.483226,20164,3753.8017,6760283.31674,0,1806.604,,,,,,,4.039999999999964,0.009999999999990905,2.4600000000000364,0.6113861386138737,0.6089108910891234,0.002475247524750246,1808.882165298026,1810.7351788704186,-1.8530135723926833,-0.7461624578533279,188.03410000000076,,,,,,,,,,,,,,,,,,5,,,,,4.029999999999973,-1.753999999999678,,
6,1698822000000,1804.07,1810.0,1802.0,1804.64,9215.998,1698825599999,16645776.800587,20867,4801.3489,8672015.802486,0,1805.3700000000001,,,,,,,0.5700000000001637,5.3599999999999,2.0699999999999363,13.035087719294214,3.631578947367266,9.403508771926948,1808.229524482945,1810.2836841392766,-2.054159656331649,-1.0077618975489921,18607.764199999998,,,,,,,,,,,,,,,,,,6,,,,,0.5700000000001637,-1.2339999999999236,,
7,1698825600000,1804.65,1808.27,1802.91,1805.03,8867.1711,1698829199999,16010078.655508,19087,3953.2777,7137744.967383,0,1804.4299999999998,,,,,,,0.37999999999988177,3.240000000000009,1.740000000000009,13.105263157898863,4.578947368422501,8.526315789476362,1807.737289947107,1809.894522351182,-2.1572324040751027,-1.2376559988542142,18083.1691,,,,,,,,,1.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7,0.0,1805.03,,,0.38999999999987267,-0.9400000000002819,,
8,1698829200000,1805.03,1807.4,1802.34,1805.56,8832.7224,1698832799999,15938789.7418,17777,3795.5505,6848661.769449,0,1803.868,,,,,,,0.5299999999999727,1.8400000000001455,2.6900000000000546,8.547169811321572,5.075471698113572,3.4716981132080003,1807.4023222629367,1809.573446621465,-2.171124358528459,-1.4243496707890633,17699.8935,,,,,,,,,1.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,8,1.0,1805.56,0.0,,0.5299999999999727,-0.5619999999998981,,
9,1698832800000,1805.57,1805.87,1792.46,1795.67,12776.1045,1698836399999,22986343.64194,27123,4559.1726,8200531.939129,0,1802.994,1805.676,,,,,,-9.899999999999864,0.2999999999999545,3.2100000000000364,0.3545454545454585,0.3242424242424324,0.030303030303026127,1805.5973496071003,1808.5435616865418,-2.946212079441466,-1.7287221525195438,-3943.382099999999,,,,,,,,,-1.0,7.0,2.0,1808.27,0.0,0.0,9.0,9.0,7.0,9,0.0,-12.599999999999909,,,-9.889999999999873,-0.8740000000000236,,
